name,date,color,message
Mekhi,June 30 2020,Light Grey,After being best friends for so long i thought that when we got together nothing would have changed. we arent friends anymore but i still love and miss you. i wish you the best even though you hurt me very deeply. please\\n\n
H,June 30 2020,Black,       .\\\\n\\r\\n\r\n
C,June 30 2020,Pale Blue,15 year old me did want to marry you. But she couldnt see all the ways shed change and outgrow you. Im so sorry\\\\n\\r\\n\r\n
Garrett,June 30 2020,Yellow,look im sorry. maybe i am not capable of emotion. i know it wasnt right to lead you on\\n\n
Paige,June 30 2020,Light Blue,Just wanted to let you know that Zian is in good hands. Please come back\\\\\\\\n-B\\\\n\\r\\n\r\n
Bennett,June 30 2020,Dark Blue,I like you so much and it hurts so bad to see you with her.\\\\n\\r\\n\r\n
A,June 30 2020,Black,Do you still think Im to? I wish you could hear me instead of believing rumors. Dont come back seeking closure.\\\\n\\r\\n\r\n
Parker,June 30 2020,Tangerine,Hindsight is 20/20\\n\n
darcy,June 30 2020,Black,i still hate you for everything. you could never let anyone else win.\\\\n\\r\\n\r\n
Sean,June 30 2020,Light Pink,You said you would fight for me and wouldnt let anything come between us\\n\n
Y,June 30 2020,Dark Purple,I hope everytime I get headache\\n\n
jazmin,June 30 2020,Light Purple,why wasnt i enough why did u want him instead of me?\\\\n\\r\\n\r\n
darling,June 30 2020,Peach,before you\\n\n
Branden,June 30 2020,Black,You tore the family apart. Youre not even my brother. why did you do what you did. Forever leaving my heart to ache and my body in pain\\\\n\\r\\n\r\n
daphne,June 30 2020,Black,I know youre a broken person but Ill never forgive you for the way you treated me\\\\n\\r\\n\r\n
basma,June 30 2020,Pale Blue,You are so gorgeous.\\\\n\\r\\n\r\n
Benn,June 30 2020,Turquoise,If you had been in love with me\\n\n
A,June 30 2020,Tangerine,Yesterday I realised Im now more in love with the memories of you\\n\n
Logan,June 30 2020,Red,ngl dude youre a dick\\n\n
Seb,June 30 2020,Green,I wonder if you held on longer\\n\n
reese,June 30 2020,Light Green,you are a fake piece of shit why are you obsessed with him. i dont get it.\\\\n\\r\\n\r\n
B,June 30 2020,Army Green,If you said it againId say it back this time.\\\\n\\r\\n\r\n
That,June 30 2020,Peach,Shes my girl. I cant stand watching her suffer. I want to end it for her I want to be happy with her. Thats it\\n\n
ex,June 30 2020,Red,i fucking miss you but ur such an ignorant asshole that does nothing but hurt me. i know i hurt you too but i wish i could go back it fucking sucks\\\\n\\r\\n\r\n
kathryn,June 30 2020,Pale Pink,hey kathryn i have a surprise for u\\\\n\\r\\n\r\n
Tristan I,June 30 2020,Pale Blue,I still think about you everyday it hurts just as much now as it did the day it happened I will never love someone again like I love you\\\\n\\r\\n\r\n
Rorie,June 30 2020,Black,I couldnt see how bad you were for me at the time\\n\n
Matthew,June 30 2020,Light Blue,In three years teme and maybe after college we can do it all. Big dog and everything. 3 years.\\\\n\\r\\n\r\n
J,June 30 2020,Black,Youve absolutely ruined my trust in everyone. You lied about everything\\n\n
Mo,June 30 2020,Black,i will always love you\\n\n
jake,June 30 2020,Black,it hurt that you were the cause of my friendship with my best friend to fail\\n\n
michelle,June 30 2020,Light Grey,weve been best friends since we were children but you threw it all away for what? to get more popular? you started false rumors about me and our other friends and some how ected us to not get angry? you acted like the victim when you were the one that started it. fuck you.\\\\n\\r\\n\r\n
sille,June 30 2020,Yellow,Thanks for being my friend and my almost gf. Thank you for making me feel the love that I have never felt before and for making me happy always. Youll have a place in my heart and remember that Im always here. I love you and I miss you.\\\\n\\r\\n\r\n
ben,June 30 2020,Black,i like you so much. you make me so happy\\n\n
Grace,June 30 2020,Dark Purple,I hope you never stop seeing the best in everyone\\n\n
Matt,June 30 2020,Maroon,I loved you so hard\\n\n
Megan,June 30 2020,Yellow,I really want things to go back the way they where.\\\\n\\r\\n\r\n
J,June 30 2020,Red,I wish that we could be more than friends but we cant be that anymore. I wish that you liked me back but youre dating her now so\\\\n\\r\\n\r\n
Jose Luis C,June 30 2020,Black,me rompiste el corazn como nadie lo haba hecho\\n\n
Eoin,June 30 2020,Light Blue,I despise you for how you treated me. I thought I was in the wrong when it was really you\\\\n\\r\\n\r\n
Sage,June 30 2020,Orange,Youve already spent 6 years trying to make me love you. Dont waste any more.\\\\n\\r\\n\r\n
ellie,June 30 2020,Light Orange,youre a fucking basic bitch who would throw friends under the bus just to be more popular\\\\n\\r\\n\r\n
collin,June 30 2020,Pink,Im afraid that you say you love me\\n\n
Lys,June 30 2020,Yellow,I cried about you for the first time since we broke up on May 28th\\n\n
Arugula,June 30 2020,Yellow,The sweat and tears that no one sees behind the curtains.\\\\n\\r\\n\r\n
conlan,June 30 2020,Green,I am glad to say I am over you\\n\n
ale,June 30 2020,Dark Green,you genuinely suck\\n\n
Hunter C.,June 30 2020,Tangerine,Please dont make me feel like im your trophy girl. dont call me darling. dont call me beautiful. call me by my name.\\\\\\\\nL\\\\n\\r\\n\r\n
kimmy,June 30 2020,Light Blue,you were my best friend and were there for me when no one else wasnt i miss you and hope life is treating you well\\\\\\\\n-e\\\\n\\r\\n\r\n
Hunter C.,June 30 2020,Tangerine,I want you. But my sense of duty to myself and the walls i confine myself within makes me act a certain way.\\\\\\\\nL\\\\n\\r\\n\r\n
Edd,June 30 2020,Blue,I miss you every goddamn day. I really do. Its like a have a hole in my heart. I love you.\\\\n\\r\\n\r\n
yani,June 30 2020,Black,its been over a year since we last spoke. i was doing good until summer. i remember staying up late to play games with you\\n\n
luke,June 30 2020,Black,i told you i was obsessed this website so theres a possibility you might check idk but ily\\\\n\\r\\n\r\n
Bran,June 30 2020,Light Blue,i loved you\\n\n
murphy,June 30 2020,Black,hi maunders\\\\n\\r\\n\r\n
Cooper,June 30 2020,Turquoise,I wish we werent so young and stupid\\n\n
H.I.,June 30 2020,Dark Blue,I am nothing to you anymore but I still care about you. I hope you are doing well. You were my world.\\\\n\\r\\n\r\n
Natasha,June 30 2020,Yellow,5 years ago I realized I was madly in love with you. Ill never forget that feeling.\\\\n\\r\\n\r\n
S,June 30 2020,Red,why did you do it? why couldnt u have just left me alone? why did u say all those things if you didnt want me?\\\\n\\r\\n\r\n
huw,June 30 2020,Turquoise,youre so weird. if you didnt like me you couldve just said. i wouldnt of been as sad if i knew sooner.\\\\n\\r\\n\r\n
Aaron D,June 30 2020,Pale Purple,love you forever\\n\n
Mal,June 30 2020,Black,Sometimes I forget youre not part of the group anymore though I really wish you were. I still love you\\\\n\\r\\n\r\n
greg,June 30 2020,Red,it hurt so bad when i found out u moved on after promising u still loved me. u were my rock. im glad u found happiness.\\\\n\\r\\n\r\n
anna,June 30 2020,Light Purple,i miss the friendship we had that i ruined by dating you if i could go back and change it i would\\\\n\\r\\n\r\n
Sama,June 30 2020,Black,UWU\\n\n
Hunter C.,June 30 2020,Tangerine,Im fcking turning into you.\\\\\\\\nL\\\\n\\r\\n\r\n
Sana,June 30 2020,Black,I wish you could believe in yourself a little more because youre an amazing person\\\\n\\r\\n\r\n
Owe.,June 30 2020,Black,stop just stop\\\\n\\r\\n\r\n
i know who,June 30 2020,Pale Pink,of course i caught feelings for you right now. in the middle of everything going on. great\\\\n\\r\\n\r\n
Kawthar,June 30 2020,Black,You are the light of my life and youre just an amazing person\\\\n\\r\\n\r\n
Muntaha,June 30 2020,Black,You are the kindest person I have ever met. Youre so genuine and I love you so much\\\\n\\r\\n\r\n
Anees,June 30 2020,Red,Everytime things get a little better it just takes a turn for the worst\\n\n
katey,June 30 2020,Pink,i hate you but i stay up wishing at night that you didnt change. i miss the old you. i still love her. its hard without you your a special girl. i hope you find someone that really appreciates all of you. \\\\n\\r\\n\r\n
Ethan,June 30 2020,Blue,bruh pp secks in your butt\\\\n\\r\\n\r\n
noah,June 30 2020,Light Blue,i miss you noah. i just want to be happy again. ill never forgive u for what u did but it doesnt take away from the fact that i still love you.\\\\n\\r\\n\r\n
Iqra,June 30 2020,Black,I cant tell you how much youve changed my life\\n\n
christian,June 30 2020,Red,I really fucking miss what we used to have\\n\n
Ty,June 30 2020,Light Purple,You taught me how to love. I dont know how this ends\\n\n
Rinad,June 30 2020,Black,Youre one of my best friends and I wish I had the guts to tell you in person\\\\n\\r\\n\r\n
Sai,June 30 2020,Yellow,Im sorry\\n\n
fredy,June 30 2020,Light Purple,how sweet it is to be loved by you\\n\n
e,June 30 2020,Yellow,i look stalk these a lot to find if youve sent a message i broke your heart but you broke mine first im sorry for leading you on after that but you deserved it sorry. have a nice life please stay safe and out of trouble e\\n\n
Madison,June 30 2020,Maroon,as much as you said you loved me I think now it may have been pity. you picked me out of anyone. now I know how you thought of me. an innocent kid with no bad intentions. Mistake after mistake you tried to accept me and love me\\n\n
Zoe,June 30 2020,Red,The way you hurt me made me who I am today. Without you I wouldnt have come this far. You deserve more credit.\\\\n\\r\\n\r\n
Sarah M.,June 30 2020,Black,Why did you throw me away like that? You were my bestfriend and I loved and appreciated you. It hurt a lot.\\\\n\\r\\n\r\n
micheal,June 30 2020,Grey,i really dont know why i am writing this but i have alway had a crush on you and it is awkward because we are all friend and it would be weird. but if u are ever down let me know\\\\n\\r\\n\r\n
Cian,June 30 2020,Light Blue,I still dont know where it all went wrong\\n\n
A,June 30 2020,Pale Blue,i hope were right bc theres no going back. but im not sure what a life without you looks like anymore.\\\\n\\r\\n\r\n
ale,June 30 2020,Maroon,I miss you. I just wish I ted you back that night.\\\\n\\r\\n\r\n
Leah,June 30 2020,Red,why wasnt i enough for you?\\\\n\\r\\n\r\n
casey,June 30 2020,Pale Blue,i really wish i hadnt said some shit that made it seem like i didnt like you but i do.\\\\n\\r\\n\r\n
C,June 30 2020,Pale Blue,I told you I couldnt be friends before we cut each other off but I never told you it was because being ONLY friends with you broke my heart\\\\n\\r\\n\r\n
Andrew Johnson,June 30 2020,Yellow,I can tell youre really trying. I appreciate that more than you know.\\\\n\\r\\n\r\n
j,June 30 2020,Pale Pink,i really like you\\n\n
Dane,June 30 2020,Orange,i dont want to miss a thing :)\\\\n\\r\\n\r\n
mike,June 30 2020,Light Green,Im gonna give you your space right nowI know we will meet again later in life. Cant wait to marry you!\\\\n\\r\\n\r\n
Rob,June 30 2020,Light Orange,You still dont know I loved you back\\n\n
carmela,June 30 2020,Green,absolutely fuck you. also stop acting like a cat\\\\n\\r\\n\r\n
Hunter C.,June 30 2020,Tangerine,Why is your favorite color gray? when you told me it reminded me of Kosei from your lie in april. i want to be your kaori.\\\\\\\\nL\\\\n\\r\\n\r\n
myself,June 30 2020,Black,you deserve the best. dont settle for less.\\\\n\\r\\n\r\n
mason,June 30 2020,Red,why cant you just speak up for the both of us?\\\\n\\r\\n\r\n
Matthew,June 30 2020,Dark Blue,I ended it with you because you hurt me too much and you didnt care. Sorry im not blonde and skinny.\\\\n\\r\\n\r\n
Jack,June 30 2020,Pale Blue,i wish i could say hi to you one more time\\\\n\\r\\n\r\n
maddox,June 30 2020,Light Green,hello bitch love you a lot even-though you never liked me back when i had crush on you its whatever love you\\\\n\\r\\n\r\n
Anya trice,June 30 2020,Pink,I miss you and Im sorry for being a cunt and hardwork breaking up with you is the biggest mistake of my life at this point in life x\\\\n\\r\\n\r\n
I,June 30 2020,Pale Purple,We have so much in common\\n\n
Matthew,June 30 2020,Dark Blue,why did you say all those things that hurt me why did you make me feel like I was never good enough? I broke up with you because it felt like you didnt care. sorry if I had too much baggage.\\\\n\\r\\n\r\n
carol,June 30 2020,Black,why couldnt you understand what we were trying to say? when we needed you most you turned the other way left us empty\\n\n
sadie liv,June 30 2020,Yellow,hi bish\\\\n\\r\\n\r\n
K,June 30 2020,Tan,K\\n\n
Becky,June 30 2020,Tangerine,You make me cry unintentionally.\\\\n\\r\\n\r\n
Dennis,June 30 2020,Orange,If you only knew just how much I hold back. How many i love yous rested silently on my lips..\\\\n\\r\\n\r\n
aydin,June 30 2020,Yellow,it hurts me that you love me. you wasted your love on someone as broken as me.\\\\n\\r\\n\r\n
M.S,June 30 2020,Yellow,Youre so insanely special and you make me laugh so much. I love you forever weirdo.\\\\n\\r\\n\r\n
Dylan,June 30 2020,Pale Blue,You were my first love\\n\n
aj,June 30 2020,Yellow,YOU MAKE ME CRAZY you make me feel too much & u fucking suck all u do is hurt me ..still kinda wanna see u tho.. tme\\\\n\\r\\n\r\n
